medicament;typ_medicament
INNOVAIR NEXTHALER;Produit
INOFER;Produit
INORIAL;Produit
INOSIPLEX;Substance
INOVELON;Produit
INSPRA;Produit
INSTANYL;Produit
INSULATARD;Produit
INSULINE ASPARTE ISOPHANE BIPHASIQUE (LEVURE/SACCHAROMYCES CEREVISIAE);Substance
INSULINE ASPARTE RECOMBINANTE (LEVURE/SACCHAROMYCES CEREVISIAE);Substance
INSULINE DEGLUDEC (LEVURE/SACCHAROMYCES CEREVISIAE);Substance
INSULINE DETEMIR (LEVURE/SACCHAROMYCES CEREVISIAE);Substance
INSULINE GLARGINE (BACTERIE/ESCHERICHIA COLI);Substance
INSULINE GLULISINE (BACTERIE/ESCHERICHIA COLI);Substance
INSULINE HUMAINE RECOMBINANTE (LEVURE/SACCHAROMYCES CEREVISIAE);Substance
INSULINE HUMAINE RECOMBINANTE ISOPHANE (BACTERIE/ESCHERICHIA COLI);Substance
INSULINE HUMAINE RECOMBINANTE ISOPHANE (LEVURE/SACCHAROMYCES CEREVISIAE);Substance
INSULINE HUMAINE RECOMBINANTE ISOPHANE BIPHASIQUE (BACTERIE/ESCHERICHIA COLI);Substance
INSULINE HUMAINE RECOMBINANTE ISOPHANE BIPHASIQUE (LEVURE/SACCHAROMYCES CEREVISIAE);Substance
INSULINE HUMAINE RECOMBINANTE SOLUBLE (BACTERIE/ESCHERICHIA COLI);Substance
INSULINE LISPRO (BACTERIE/ESCHERICHIA COLI);Substance
INSUMAN;Produit
INTELENCE;Produit
INTERFERON ALFA-2A (BACTERIE/ESCHERICHIA COLI);Substance
INTERFERON ALFA-2B (BACTERIE/ESCHERICHIA COLI);Substance
INTERFERON BÊTA-1A (MAMMIFERE/HAMSTER/CELLULES CHO);Substance
INTERFERON BÊTA-1B;Substance
INTETRIX;Produit
INTRONA;Produit
INVIRASE;Produit
IOBITRIDOL;Substance
IODIXANOL;Substance
IOHEXOL;Substance
IOMEPROL;Substance
IOMERON;Produit
IOPAMIDOL;Substance
IOPAMIGITA;Produit
IOPAMIRON;Produit
IOPIDINE;Produit
IOPROMIDE;Substance
IOVERSOL;Substance
IPERTEN;Produit
IPRATROPIUM (BROMURE D');Substance
IPRATROPIUM AGUETTANT;Produit
IPRATROPIUM ALMUS;Produit
IPRATROPIUM ARROW;Produit
IPRATROPIUM CRISTERS;Produit
IPRATROPIUM EG;Produit
IPRATROPIUM MYLAN;Produit
IPRATROPIUM SANDOZ;Produit
IPRATROPIUM TEVA;Produit
IPRATROPIUM ZENTIVA;Produit
IPRONIAZIDE (PHOSPHATE D');Substance
IRBESARTAN;Substance
IRBESARTAN (CHLORHYDRATE D');Substance
IRBESARTAN ACCORD;Produit
IRBESARTAN ALTER;Produit
IRBESARTAN ARROW;Produit
IRBESARTAN ARROW GENERIQUES;Produit
IRBESARTAN ARROW LAB;Produit
IRBESARTAN BGR;Produit
IRBESARTAN BIOGARAN;Produit
IRBESARTAN CRISTERS;Produit
IRBESARTAN EG;Produit
IRBESARTAN EVOLUGEN;Produit
IRBESARTAN HYDROCHLOROTHIAZIDE ARROW GENERIQUES;Produit
IRBESARTAN HYDROCHLOROTHIAZIDE BIOGARAN;Produit
IRBESARTAN HYDROCHLOROTHIAZIDE CRISTERS;Produit
IRBESARTAN HYDROCHLOROTHIAZIDE EG;Produit
IRBESARTAN HYDROCHLOROTHIAZIDE EVOLUGEN;Produit
IRBESARTAN HYDROCHLOROTHIAZIDE MYLAN PHARMA;Produit
IRBESARTAN HYDROCHLOROTHIAZIDE RANBAXY;Produit
IRBESARTAN HYDROCHLOROTHIAZIDE SANDOZ;Produit
IRBESARTAN HYDROCHLOROTHIAZIDE TEVA;Produit
IRBESARTAN HYDROCHLOROTHIAZIDE ZENTIVA;Produit
IRBESARTAN HYDROCHLOROTHIAZIDE ZYDUS;Produit
IRBESARTAN ISOMED;Produit
IRBESARTAN MYLAN;Produit
IRBESARTAN PHR LAB;Produit
IRBESARTAN RANBAXY;Produit
IRBESARTAN RATIOPHARM;Produit
IRBESARTAN SANDOZ;Produit
IRBESARTAN TEVA;Produit
IRBESARTAN ZENTIVA;Produit
IRBESARTAN ZYDUS;Produit
IRBESARTAN/HYDROCHLOROTHIAZIDE EVOLUGEN PHARMA;Produit
IRESSA;Produit
ISENTRESS;Produit
ISIMIG;Produit
ISOBAR;Produit
ISOCARD;Produit
ISOCONAZOLE (NITRATE D');Substance
ISOLEUCINE;Substance
ISONIAZIDE;Substance
ISOPRINOSINE;Produit
ISOPTINE;Produit
ISOPTO PILOCARPINE;Produit
ISORYTHM;Produit
ISOSORBIDE (DINITRATE D');Substance
ISOSORBIDE (MONONITRATE D');Substance
ISOSORBIDE DINITRATE MYLAN;Produit
ISOTRETINOINE;Substance
ISOTRETINOINE ACNETRAIT;Produit
ISPAGHUL (GRAINE D'), TEGUMENT DE LA;Substance
ISPAGHUL (TEGUMENT DE LA GRAINE D') (POUDRE DE);Substance
ISRADIPINE;Substance
ISTENDO;Produit
ISTOPEN;Produit
ITRACONAZOLE;Substance
ITRACONAZOLE HEXAL;Produit
ITRACONAZOLE MYLAN;Produit
ITRACONAZOLE SANDOZ;Produit
ITRACONAZOLE TEVA;Produit
IVABRADINE (CHLORHYDRATE D');Substance
IVABRADINE (OXALATE D');Substance
IVABRADINE ARROW;Produit
IVABRADINE BIOGARAN;Produit
IVABRADINE CRISTERS;Produit
IVABRADINE EG;Produit
IVABRADINE KRKA;Produit
IVABRADINE MYLAN;Produit
IVABRADINE SANDOZ;Produit
IVABRADINE TEVA SANTE;Produit
IVABRADINE ZENTIVA;Produit
IVABRADINE ZYDUS;Produit
IVACAFTOR;Substance
IVERMECTINE;Substance
IXAZOMIB (CITRATE D');Substance
IXEKIZUMAB (MAMMIFERE/HAMSTER/CELLULES CHO);Substance
IXEL;Produit
IXPRIM;Produit
IZALGI;Produit
IZILOX;Produit
IZINOVA;Produit
JAKAVI;Produit
JANUMET;Produit
JANUVIA;Produit
JAYDESS;Produit
JEXT;Produit
JINARC;Produit
JOSACINE;Produit
JOSAMYCINE;Substance
JOSAMYCINE (PROPIONATE DE);Substance
JOSIR;Produit
JULUCA;Produit
JUSTOR;Produit
KABIVEN;Produit
KALEORID;Produit
KALETRA;Produit
KALYDECO;Produit
KANEURON;Produit
KARDEGIC;Produit
KAYEXALATE;Produit
KEAL;Produit
KEFORAL;Produit
KENACORT;Produit
KENZEN;Produit
KEPPRA;Produit
KERLONE;Produit
KESTIN;Produit
KESTINLYO;Produit
KETEK;Produit
KETOCONAZOLE;Substance
KETOCONAZOLE ARROW;Produit
KETOCONAZOLE BIOGARAN;Produit
KETOCONAZOLE CRISTERS;Produit
KETOCONAZOLE EG;Produit
KETOCONAZOLE GENODEX;Produit
KETOCONAZOLE HRA;Produit
KETOCONAZOLE MYLAN;Produit
KETOCONAZOLE SANDOZ;Produit
KETOCONAZOLE TEVA;Produit
KETOCONAZOLE ZENTIVA;Produit
KETODERM;Produit
KETOPROFENE;Substance
KETOPROFENE ARROW;Produit
KETOPROFENE BGR;Produit
KETOPROFENE BIOGARAN;Produit
KETOPROFENE EG;Produit
KETOPROFENE MYLAN;Produit
KETOPROFENE MYLAN PHARMA;Produit
KETOPROFENE PHARMY II;Produit
KETOPROFENE RATIO;Produit
KETOPROFENE RATIOPHARM;Produit
KETOPROFENE RPG;Produit
KETOPROFENE SANDOZ;Produit
KETOPROFENE SUN;Produit
KETOPROFENE TEVA;Produit
KETOPROFENE TEVA SANTE;Produit
KETOPROFENE ZENTIVA;Produit
KETOROLAC TROMETAMOL;Substance
KETOSTERIL;Produit
KETOTIFENE (FUMARATE DE);Substance
KETREL;Produit
KETUM;Produit
KEVZARA;Produit
KINERET;Produit
KINUREA;Produit
KIVEXA;Produit
KLEAN PREP;Produit
KLIOGEST;Produit
KLIPAL;Produit
KOMBOGLYZE;Produit
KOREC;Produit
KORETIC;Produit
KREDEX;Produit
KYLEENA;Produit
KYNTHEUM;Produit
KYTRIL;Produit
L THYROXINE SERB;Produit
L-THYROXIN HENNING;Produit
LABETALOL (CHLORHYDRATE DE);Substance
LACIDIPINE;Substance
LACOSAMIDE;Substance
LACRIFLUID;Produit
LACRIGEL;Produit
LACRINORM;Produit
LACRYVISC;Produit
LACTITOLUM MONOHYDRICUM (L);Substance
LACTOBACILLUS CASEI;Substance
LACTULOSE;Substance
LACTULOSE ARROW;Produit
LACTULOSE BIOGARAN;Produit
LACTULOSE BIPHAR;Produit
LACTULOSE EG;Produit
LACTULOSE LIQUIDE;Substance
LACTULOSE MYLAN;Produit
LACTULOSE MYLAN PHARMA;Produit
LACTULOSE RATIOPHARM;Produit
LACTULOSE RPG;Produit
LACTULOSE SANDOZ;Produit
LACTULOSE TEVA;Produit
LACTULOSE ZENTIVA;Produit
LAMALINE;Produit
LAMICTAL;Produit
LAMISIL;Produit
LAMISILDERMGEL;Produit
LAMIVUDINE;Substance
LAMIVUDINE ARROW;Produit
LAMIVUDINE MYLAN;Produit
LAMIVUDINE ZIDOVUDINE CRISTERS;Produit
LAMIVUDINE ZIDOVUDINE MYLAN;Produit
LAMIVUDINE ZIDOVUDINE SANDOZ;Produit
LAMIVUDINE ZIDOVUDINE TEVA;Produit
LAMIVUDINE/ZIDOVUDINE ARROW;Produit
LAMOTRIGINE;Substance
LAMOTRIGINE ARROW;Produit
LAMOTRIGINE ARROW LAB;Produit
LAMOTRIGINE BIOGARAN;Produit
LAMOTRIGINE EG;Produit
LAMOTRIGINE MYLAN;Produit
LAMOTRIGINE RANBAXY;Produit
LAMOTRIGINE RATIOPHARM;Produit
LAMOTRIGINE SANDOZ;Produit
LAMOTRIGINE TEVA;Produit
LANGORAN;Produit
LANREOTIDE (ACETATE DE);Substance
LANSOPRAZOLE;Substance
LANSOPRAZOLE ALMUS;Produit
LANSOPRAZOLE ALMUS PHARMA;Produit
LANSOPRAZOLE ARROW;Produit
LANSOPRAZOLE BGR;Produit
LANSOPRAZOLE BIOGARAN;Produit
LANSOPRAZOLE CRISTERS;Produit
LANSOPRAZOLE EG;Produit
LANSOPRAZOLE EVOLUGEN;Produit
LANSOPRAZOLE ISOMED;Produit
LANSOPRAZOLE KAPPLER PHARMA CONSULT;Produit
LANSOPRAZOLE KRKA;Produit
LANSOPRAZOLE LICONSA;Produit
LANSOPRAZOLE MYLAN;Produit
LANSOPRAZOLE PHR LAB;Produit
LANSOPRAZOLE RANBAXY;Produit
LANSOPRAZOLE RATIOPHARM;Produit
LANSOPRAZOLE SANDOZ;Produit
LANSOPRAZOLE TEVA SANTE;Produit
LANSOPRAZOLE ZENTIVA;Produit
LANSOPRAZOLE ZYDUS;Produit
LANSOPRAZOLE ZYDUS France;Produit
LANTHANE (CARBONATE DE) HYDRATE;Substance
LANTUS;Produit
LANZOR;Produit
LAPATINIB (DITOSILATE DE) MONOHYDRATE;Substance
LARGACTIL;Produit
LARIAM;Produit
LARMABAK;Produit
LARMES ARTIFICIELLES MARTINET;Produit
LAROXYL;Produit
LASILIX;Produit
LATANOPROST;Substance
LATANOPROST ACTAVIS;Produit
LATANOPROST ARROW;Produit
LATANOPROST BIOGARAN;Produit
LATANOPROST CHAUVIN;Produit
LATANOPROST EG;Produit
LATANOPROST MYLAN PHARMA;Produit
LATANOPROST PFIZER;Produit
LATANOPROST RANBAXY;Produit
LATANOPROST SANDOZ;Produit
LATANOPROST TEVA;Produit
LATANOPROST TIMOLOL ARROW;Produit
LATANOPROST TIMOLOL BIOGARAN;Produit
LATANOPROST TIMOLOL EG;Produit
LATANOPROST TIMOLOL MYLAN PHARMA;Produit
LATANOPROST TIMOLOL PFIZER;Produit
LATANOPROST TIMOLOL SANDOZ;Produit
LATANOPROST TIMOLOL TEVA;Produit
LATANOPROST TIMOLOL ZENTIVA;Produit
LATANOPROST TIMOLOL ZYDUS;Produit
LATANOPROST ZENTIVA;Produit
LATANOPROST ZYDUS;Produit
LAVENTAIR ELLIPTA;Produit
LECTIL;Produit
LEDERFOLINE;Produit
LEDERTREXATE;Produit
LEDIPASVIR;Substance
LEELOO;Produit
LEFLUNOMIDE;Substance
LEFLUNOMIDE EG;Produit
LEFLUNOMIDE MYLAN;Produit
LEFLUNOMIDE WINTHROP;Produit
LENOGRASTIM (MAMMIFERE/HAMSTER/CELLULES CHO);Substance
LENVATINIB (MESILATE DE);Substance
LENVIMA;Produit
LEPONEX;Produit
LEPTICUR;Produit
LEPTOPROL;Produit
LERCAN;Produit
LERCANIDIPINE (CHLORHYDRATE DE);Substance
LERCANIDIPINE ARROW;Produit
LERCANIDIPINE ARROW GENERIQUES;Produit
LERCANIDIPINE BIOGARAN;Produit
LERCANIDIPINE BOUCHARA RECORDATI;Produit
LERCANIDIPINE CRISTERS;Produit
LERCANIDIPINE EG;Produit
LERCANIDIPINE EVOLUGEN;Produit
LERCANIDIPINE MYLAN;Produit
LERCANIDIPINE PHR LAB;Produit
LERCANIDIPINE RANBAXY;Produit
LERCANIDIPINE SANDOZ;Produit
LERCANIDIPINE TEVA;Produit
LERCANIDIPINE TEVA SANTE;Produit
LERCANIDIPINE ZENTIVA;Produit
LERCANIDIPINE ZYDUS;Produit
LERCAPRESS;Produit
LESCOL;Produit
LETROZOLE;Substance
LETROZOLE ACCORD HEALTHCARE;Produit
LETROZOLE ARROW;Produit
LETROZOLE BIOGARAN;Produit
LETROZOLE BLUEFISH;Produit
LETROZOLE CRISTERS;Produit
LETROZOLE EG;Produit
LETROZOLE EVOLUGEN;Produit
LETROZOLE ISOMED;Produit
LETROZOLE MYLAN;Produit
LETROZOLE PHR LAB;Produit
LETROZOLE RANBAXY;Produit
LETROZOLE RATIOPHARM;Produit
LETROZOLE SANDOZ;Produit
LETROZOLE SUN;Produit
LETROZOLE TEVA;Produit
LETROZOLE ZENTIVA;Produit
LETROZOLE ZYDUS;Produit
LEUCINE;Substance
LEUPRORELINE;Substance
LEUPRORELINE (ACETATE DE);Substance
LEVEMIR;Produit
LEVETIRACETAM;Substance
LEVETIRACETAM ACCORD;Produit
LEVETIRACETAM ACTAVIS;Produit
LEVETIRACETAM ACTAVIS GROUP;Produit
LEVETIRACETAM ALTER;Produit
LEVETIRACETAM ARROW;Produit
LEVETIRACETAM ARROW LAB;Produit
LEVETIRACETAM BIOGARAN;Produit
LEVETIRACETAM CRISTERS;Produit
LEVETIRACETAM EG;Produit
LEVETIRACETAM EVOLUGEN;Produit
LEVETIRACETAM KRKA;Produit
LEVETIRACETAM MYLAN PHARMA;Produit
LEVETIRACETAM RANBAXY;Produit
LEVETIRACETAM SANDOZ;Produit
LEVETIRACETAM TEVA;Produit
LEVETIRACETAM ZENTIVA;Produit
LEVETIRACETAM ZENTIVA LAB;Produit
LEVETIRACETAM ZYDUS;Produit
LEVIDCEN;Produit
LEVOBUNOLOL (CHLORHYDRATE DE);Substance
LEVOCABASTINE (CHLORHYDRATE DE);Substance
LEVOCARNIL;Produit
LEVOCARNITINE;Substance
LEVOCETIRIZINE (DICHLORHYDRATE DE);Substance
LEVOCETIRIZINE ARROW;Produit
LEVOCETIRIZINE BIOGARAN;Produit
LEVOCETIRIZINE CRISTERS;Produit
LEVOCETIRIZINE EG;Produit
LEVOCETIRIZINE KRKA;Produit
LEVOCETIRIZINE MYLAN;Produit
LEVOCETIRIZINE RANBAXY;Produit
LEVOCETIRIZINE RATIOPHARM;Produit
LEVOCETIRIZINE SANDOZ;Produit
LEVOCETIRIZINE TEVA;Produit
LEVOCETIRIZINE ZENTIVA;Produit
LEVOCETIRIZINE ZYDUS;Produit
LEVODOPA;Substance
LEVODOPA BENSERAZIDE TEVA;Produit
LEVODOPA CARBIDOPA ACCORD;Produit
LEVODOPA CARBIDOPA ENTACAPONE ARROW;Produit
LEVODOPA CARBIDOPA ENTACAPONE BIOGARAN;Produit
LEVODOPA CARBIDOPA ENTACAPONE EG;Produit
LEVODOPA CARBIDOPA ENTACAPONE MYLAN;Produit
LEVODOPA CARBIDOPA ENTACAPONE SANDOZ;Produit
LEVODOPA CARBIDOPA ENTACAPONE TEVA;Produit
LEVODOPA CARBIDOPA TEVA;Produit
LEVOFLOXACINE ACCORD HEALTHCARE;Produit
LEVOFLOXACINE ACTAVIS;Produit
LEVOFLOXACINE ALMUS;Produit
LEVOFLOXACINE ARROW;Produit
LEVOFLOXACINE ARROW LAB;Produit
LEVOFLOXACINE BIOGARAN;Produit
LEVOFLOXACINE BLUEFISH;Produit
LEVOFLOXACINE CRISTERS;Produit
LEVOFLOXACINE EG;Produit
LEVOFLOXACINE EVOLUGEN;Produit
LEVOFLOXACINE HEMIHYDRATEE;Substance
LEVOFLOXACINE ISOMED;Produit
LEVOFLOXACINE KRKA;Produit
LEVOFLOXACINE MYLAN;Produit
LEVOFLOXACINE PHR LAB;Produit
LEVOFLOXACINE RANBAXY;Produit
LEVOFLOXACINE RATIOPHARM;Produit
LEVOFLOXACINE SANDOZ;Produit
LEVOFLOXACINE TEVA;Produit
LEVOFLOXACINE ZENTIVA;Produit
LEVOFLOXACINE ZYDUS;Produit
LEVOFREE;Produit
LEVOMEPROMAZINE (CHLORHYDRATE DE);Substance
LEVOMEPROMAZINE (HYDROGENOMALEATE DE);Substance
LEVONORGESTREL;Substance
LEVONORGESTREL BIOGARAN;Produit
LEVONORGESTREL CRISTERS;Produit
LEVONORGESTREL EG;Produit
LEVONORGESTREL ETHINYLESTRADIOL BIOGARAN;Produit
LEVONORGESTREL ETHINYLESTRADIOL BIOGARANCONTINU;Produit
LEVONORGESTREL ETHINYLESTRADIOL CRISTERS;Produit
LEVONORGESTREL ETHINYLESTRADIOL EG;Produit
LEVONORGESTREL ETHINYLESTRADIOL SANDOZ;Produit
LEVONORGESTREL ETHINYLESTRADIOL ZENTIVA;Produit
LEVONORGESTREL MYLAN;Produit
LEVONORGESTREL/ETHINYLESTRADIOL ZENTIVA;Produit
LEVOPHTA;Produit
LEVOTHYROX;Produit
LEVOTHYROXINE BIOGARAN;Produit
LEVOTHYROXINE RATIOPHARM;Produit
LEVOTHYROXINE SODIQUE;Substance
LEVOTONINE;Produit
LEVURE;Substance
LEXOMIL;Produit
LH HUMAINE RECOMBINANTE (MAMMIFERE/HAMSTER/CELLULES CHO);Substance
LHRH FERRING;Produit
LIDOCAINE;Substance
LIDOCAINE (CHLORHYDRATE DE);Substance
LIDOCAINE PRILOCAINE BIOGARAN;Produit
LIDOCAINE PRILOCAINE ZENTIVA;Produit
LINCOCINE;Produit
LINCOMYCINE (CHLORHYDRATE DE);Substance
LINDILANE;Produit
LIORESAL;Produit
LIOTHYRONINE SODIQUE;Substance
LIPANOR;Produit
LIPANTHYL;Produit
LIPOSIC;Produit
LIPTRUZET;Produit
LIPUR;Produit
LIRAGLUTIDE (LEVURE/SACCHAROMYCES CEREVISIAE);Substance
LISINOPRIL ACTAVIS;Produit
LISINOPRIL ARROW;Produit
LISINOPRIL BIOGARAN;Produit
LISINOPRIL CRISTERS;Produit
LISINOPRIL DIHYDRATE;Substance
LISINOPRIL EG;Produit
LISINOPRIL HYDROCHLOROTHIAZIDE ARROW;Produit
LISINOPRIL HYDROCHLOROTHIAZIDE ARROW LAB;Produit
LISINOPRIL HYDROCHLOROTHIAZIDE BIOGARAN;Produit
LISINOPRIL HYDROCHLOROTHIAZIDE EG;Produit
LISINOPRIL HYDROCHLOROTHIAZIDE MYLAN;Produit
LISINOPRIL HYDROCHLOROTHIAZIDE RANBAXY;Produit
LISINOPRIL HYDROCHLOROTHIAZIDE RATIOPHARM;Produit
LISINOPRIL HYDROCHLOROTHIAZIDE SANDOZ;Produit
LISINOPRIL HYDROCHLOROTHIAZIDE TEVA;Produit
LISINOPRIL HYDROCHLOROTHIAZIDE ZYDUS;Produit
LISINOPRIL MYLAN;Produit
LISINOPRIL RATIOPHARM;Produit
LISINOPRIL RPG;Produit
LISINOPRIL SANDOZ;Produit
LISINOPRIL TEVA;Produit
LISINOPRIL ZENTIVA;Produit
LISINOPRIL ZYDUS;Produit
LISINOPRIL/HYDROCHLOROTHIAZIDE ZENTIVA;Produit
LISURIDE (MALEATE ACIDE DE);Substance
LITAK;Produit
LITHIODERM;Produit
LITHIUM (CARBONATE DE);Substance
LITHIUM (GLUCONATE DE);Substance
LOCACID;Produit
LOCAPRED;Produit
LOCATOP;Produit
LOCERYL;Produit
LOCOID;Produit
LODALES;Produit
LODINE;Produit
LODOXAMIDE TROMETAMOL;Substance
LODOZ;Produit
LOGIFLOX;Produit
LOGIMAX;Produit
LOGIRENE;Produit
LOGROTON;Produit
LOLISTREL;Produit
LOMEFLOXACINE (CHLORHYDRATE DE);Substance
LOMEXIN;Produit
LOMUSOL;Produit
LONOTEN;Produit
LONSURF;Produit
LOPERAMIDE (CHLORHYDRATE DE);Substance
LOPERAMIDE (OXYDE DE) MONOHYDRATE;Substance
LOPERAMIDE ALMUS;Produit
LOPERAMIDE ARROW;Produit
LOPERAMIDE BIOGARAN;Produit
LOPERAMIDE EG;Produit
LOPERAMIDE EVOLUGEN;Produit
LOPERAMIDE GNR;Produit
LOPERAMIDE LYOC;Produit
LOPERAMIDE MYLAN;Produit
LOPERAMIDE NOR;Produit
LOPERAMIDE RPG;Produit
LOPERAMIDE SANDOZ;Produit
LOPERAMIDE TEVA;Produit
LOPERAMIDE ZENTIVA;Produit
LOPERAMIDE ZYDUS;Produit
LOPINAVIR;Substance
LOPRAZOLAM (MESILATE DE) MONOHYDRATE;Substance
LOPRESSOR;Produit
LOPRIL;Produit
LORAMYC;Produit
LORATADINE;Substance
LORATADINE ALMUS;Produit
LORATADINE ARROW;Produit
LORATADINE BIOGARAN;Produit
LORATADINE CRISTERS;Produit
LORATADINE EG;Produit
LORATADINE MYLAN;Produit
LORATADINE RANBAXY;Produit
LORATADINE RATIOPHARM;Produit
LORATADINE SANDOZ;Produit
LORATADINE TEVA;Produit
LORATADINE TORRENT;Produit
LORATADINE ZENTIVA;Produit
LORATADINE ZYDUS;Produit
LORAZEPAM;Substance
LORAZEPAM BIOGARAN;Produit
LORAZEPAM MYLAN;Produit
LORMETAZEPAM;Substance
LORMETAZEPAM ARROW;Produit
LOSARTAN ACCORD;Produit
LOSARTAN ACTAVIS;Produit
LOSARTAN ARROW;Produit
LOSARTAN BIOGARAN;Produit
LOSARTAN CRISTERS;Produit
LOSARTAN EG;Produit
LOSARTAN EVOLUGEN;Produit
LOSARTAN HYDROCHLOROTHIAZIDE ACTAVIS;Produit
LOSARTAN HYDROCHLOROTHIAZIDE ARROW;Produit
LOSARTAN HYDROCHLOROTHIAZIDE ARROW LAB;Produit
LOSARTAN HYDROCHLOROTHIAZIDE BGR;Produit
LOSARTAN HYDROCHLOROTHIAZIDE BIOGARAN;Produit
LOSARTAN HYDROCHLOROTHIAZIDE CRISTERS;Produit
LOSARTAN HYDROCHLOROTHIAZIDE EG;Produit
LOSARTAN HYDROCHLOROTHIAZIDE EVOLUGEN;Produit
LOSARTAN HYDROCHLOROTHIAZIDE ISOMED;Produit
LOSARTAN HYDROCHLOROTHIAZIDE KRKA;Produit
LOSARTAN HYDROCHLOROTHIAZIDE MYLAN;Produit
LOSARTAN HYDROCHLOROTHIAZIDE MYLAN PHARMA;Produit
LOSARTAN HYDROCHLOROTHIAZIDE PHR LAB;Produit
LOSARTAN HYDROCHLOROTHIAZIDE RANBAXY;Produit
LOSARTAN HYDROCHLOROTHIAZIDE RATIOPHARM;Produit
LOSARTAN HYDROCHLOROTHIAZIDE SANDOZ;Produit
LOSARTAN HYDROCHLOROTHIAZIDE TEVA;Produit
LOSARTAN HYDROCHLOROTHIAZIDE ZENTIVA;Produit
LOSARTAN HYDROCHLOROTHIAZIDE ZYDUS;Produit
LOSARTAN ISOMED;Produit
LOSARTAN KRKA;Produit
LOSARTAN MYLAN;Produit
LOSARTAN PHR LAB;Produit
LOSARTAN POTASSIUM (GB);Substance
LOSARTAN RANBAXY;Produit
LOSARTAN RATIOPHARM;Produit
LOSARTAN SANDOZ;Produit
LOSARTAN TEVA;Produit
LOSARTAN TORRENT;Produit
LOSARTAN ZENTIVA;Produit
LOSARTAN ZYDUS;Produit
LOSARTAN/HYDROCHLOROTHIAZIDE BOUCHARA-RECORDATI;Produit
LOSARTAN/HYDROCHLOROTHIAZIDE ZYDUS France;Produit
LOVAPHARM;Produit
LOVAVULO;Produit
LOVENOX;Produit
LOXAPAC;Produit
LOXAPINE (SUCCINATE DE);Substance
LOXAPINE BASE;Substance
LOXEN;Produit
LUBENTYL;Produit
LUCENTIS;Produit
LUDEAL;Produit
LUDIOMIL;Produit
LUMEFANTRINE;Substance
LUMIGAN;Produit
LUMIRELAX;Produit
LUTENYL;Produit
LUTERAN;Produit
LUTRELEF;Produit
LUVERIS;Produit
LYMECYCLINE;Substance
LYMECYCLINE ARROW;Produit
LYNPARZA;Produit
LYRICA;Produit
LYSANXIA;Produit
LYSINE;Substance
LYSINE (ACETATE DE);Substance
LYSINE (AZTREONAM DE);Substance
LYSINE (MONOCHLORHYDRATE DE);Substance
LYSOCLINE;Produit
LYTOS;Produit
M-M-RVAXPRO;Produit
MACROGOL 4000 GNR;Produit
MACROGOL 4000 MYLAN;Produit
MACROGOL 4000 SANDOZ;Produit
MACROGOL BIOGARAN;Produit
MACUGEN;Produit
MAGINJECTABLE;Produit
MAGNE B6;Produit
MAGNESIUM (ACETATE DE) TETRAHYDRATE;Substance
MAGNESIUM (CARBONATE DE);Substance
MAGNESIUM (CARBONATE DE) LEGER;Substance
MAGNESIUM (CHLORURE DE) HEXAHYDRATE;Substance
MAGNESIUM (GLYCEROPHOSPHATE DE);Substance
MAGNESIUM (HYDROXYDE DE);Substance
MAGNESIUM (LACTATE DE) DIHYDRATE;Substance
MAGNESIUM (OXYDE DE) LEGER;Substance
MAGNESIUM (OXYDE DE) LOURD;Substance
MAGNESIUM (PIDOLATE DE);Substance
MAGNESIUM (SPAGLUMATE DE);Substance
MAGNESIUM (SULFATE DE) HEPTAHYDRATE;Substance
MAGNESIUM VITAMINE B6 MYLAN;Produit
MAGNEVIST;Produit
MALARONE;Produit
MALOCIDE;Produit
MANGANESE (CHLORURE DE) TETRAHYDRATE;Substance
MANGANESE (GLUCONATE DE);Substance
MANGANESE (GLYCEROPHOSPHATE DE);Substance
MANIDIPINE (CHLORHYDRATE DE);Substance
MANIDIPINE BIOGARAN;Produit
MANIDIPINE EG;Produit
MANIDIPINE MYLAN;Produit
MANIDIPINE RATIOPHARM;Produit
MANIDIPINE SANDOZ;Produit
MANIDIPINE TEVA;Produit
MANIDIPINE ZENTIVA;Produit
MANTADIX;Produit
MAPROTILINE (CHLORHYDRATE DE);Substance
MARAVIROC;Substance
MARSILID;Produit
MATRIFEN;Produit
MAVIRET;Produit
MAXAIR;Produit
MAXALT;Produit
MAXALTLYO;Produit
MAXIDEX;Produit
MAXIDROL;Produit
MEBEVERINE (CHLORHYDRATE DE);Substance
MEBEVERINE ALPHARMA;Produit
MEBEVERINE BIOGARAN;Produit
MEBEVERINE EG;Produit
MEBEVERINE MYLAN;Produit
MEBEVERINE TEVA;Produit
MEBEVERINE ZENTIVA;Produit
MEBUTATE D'INGENOL;Substance
MECASERMINE RECOMBINANTE;Substance
MECIR;Produit
MEDIATENSYL;Produit
MEDIFLUOX;Produit
MEDIKINET;Produit
MEDNUTRIFLEX;Produit
MEDNUTRIFLEX OMEGA;Produit
MEDROGESTONE;Substance
MEDROL;Produit
MEDROXYPROGESTERONE (ACETATE DE);Substance
MEFENAMIQUE (ACIDE);Substance
MEFLOQUINE (CHLORHYDRATE DE);Substance
MEGACE;Produit
MEGESTROL (ACETATE DE);Substance
MEGLUMINE (AMIDOTRIZOATE DE);Substance
MEGLUMINE (ANTIMONIATE DE);Substance
MEGLUMINE (GADOTERATE DE);Substance
MEGLUMINE (IOXAGLATE DE);Substance
